Run 	T Sent 	T Received 	Message ID 	dT
1 	2015-04-20 23:46:09.909047 	2015-04-20 23:46:09.931816 	7 	0:00:00.022769
2 	2015-04-20 23:46:09.931977 	2015-04-20 23:46:09.959797 	6 	0:00:00.027820
3 	2015-04-20 23:46:09.959902 	2015-04-20 23:46:09.985797 	9 	0:00:00.025895
4 	2015-04-20 23:46:09.985904 	2015-04-20 23:46:10.012762 	4 	0:00:00.026858
5 	2015-04-20 23:46:10.012868 	2015-04-20 23:46:10.037759 	0 	0:00:00.024891
6 	2015-04-20 23:46:10.037864 	2015-04-20 23:46:10.065800 	9 	0:00:00.027936
7 	2015-04-20 23:46:10.065903 	2015-04-20 23:46:10.089794 	4 	0:00:00.023891
8 	2015-04-20 23:46:10.089897 	2015-04-20 23:46:10.114758 	2 	0:00:00.024861
9 	2015-04-20 23:46:10.114862 	2015-04-20 23:46:10.138786 	6 	0:00:00.023924
10 	2015-04-20 23:46:10.138890 	2015-04-20 23:46:10.164760 	3 	0:00:00.025870
11 	2015-04-20 23:46:10.164864 	2015-04-20 23:46:10.189817 	8 	0:00:00.024953
12 	2015-04-20 23:46:10.189921 	2015-04-20 23:46:10.214798 	0 	0:00:00.024877
13 	2015-04-20 23:46:10.214902 	2015-04-20 23:46:10.239789 	8 	0:00:00.024887
14 	2015-04-20 23:46:10.239893 	2015-04-20 23:46:10.266791 	3 	0:00:00.026898
15 	2015-04-20 23:46:10.266895 	2015-04-20 23:46:10.290789 	9 	0:00:00.023894
16 	2015-04-20 23:46:10.290896 	2015-04-20 23:46:10.315792 	5 	0:00:00.024896
17 	2015-04-20 23:46:10.315897 	2015-04-20 23:46:10.341813 	3 	0:00:00.025916
18 	2015-04-20 23:46:10.341916 	2015-04-20 23:46:10.366793 	8 	0:00:00.024877
19 	2015-04-20 23:46:10.366897 	2015-04-20 23:46:10.392797 	3 	0:00:00.025900
20 	2015-04-20 23:46:10.392901 	2015-04-20 23:46:10.417795 	6 	0:00:00.024894
21 	2015-04-20 23:46:10.417899 	2015-04-20 23:46:10.442796 	9 	0:00:00.024897
22 	2015-04-20 23:46:10.442899 	2015-04-20 23:46:10.469761 	5 	0:00:00.026862
23 	2015-04-20 23:46:10.469866 	2015-04-20 23:46:10.495809 	6 	0:00:00.025943
24 	2015-04-20 23:46:10.495913 	2015-04-20 23:46:10.522813 	5 	0:00:00.026900
25 	2015-04-20 23:46:10.522917 	2015-04-20 23:46:10.547800 	3 	0:00:00.024883
26 	2015-04-20 23:46:10.547904 	2015-04-20 23:46:10.573801 	1 	0:00:00.025897
27 	2015-04-20 23:46:10.573905 	2015-04-20 23:46:10.597792 	5 	0:00:00.023887
28 	2015-04-20 23:46:10.597899 	2015-04-20 23:46:10.622763 	1 	0:00:00.024864
29 	2015-04-20 23:46:10.622871 	2015-04-20 23:46:10.648847 	3 	0:00:00.025976
30 	2015-04-20 23:46:10.648977 	2015-04-20 23:46:10.673799 	2 	0:00:00.024822
31 	2015-04-20 23:46:10.673903 	2015-04-20 23:46:10.698767 	1 	0:00:00.024864
32 	2015-04-20 23:46:10.698889 	2015-04-20 23:46:10.723797 	5 	0:00:00.024908
33 	2015-04-20 23:46:10.723901 	2015-04-20 23:46:10.749792 	4 	0:00:00.025891
34 	2015-04-20 23:46:10.749897 	2015-04-20 23:46:10.775795 	0 	0:00:00.025898
35 	2015-04-20 23:46:10.775900 	2015-04-20 23:46:10.800816 	7 	0:00:00.024916
36 	2015-04-20 23:46:10.800919 	2015-04-20 23:46:10.823796 	9 	0:00:00.022877
37 	2015-04-20 23:46:10.823900 	2015-04-20 23:46:10.850796 	7 	0:00:00.026896
38 	2015-04-20 23:46:10.850900 	2015-04-20 23:46:10.876799 	2 	0:00:00.025899
39 	2015-04-20 23:46:10.876920 	2015-04-20 23:46:10.902791 	7 	0:00:00.025871
40 	2015-04-20 23:46:10.902896 	2015-04-20 23:46:10.926769 	1 	0:00:00.023873
41 	2015-04-20 23:46:10.926873 	2015-04-20 23:46:10.952799 	7 	0:00:00.025926
42 	2015-04-20 23:46:10.952879 	2015-04-20 23:46:10.978794 	2 	0:00:00.025915
43 	2015-04-20 23:46:10.978898 	2015-04-20 23:46:11.006794 	8 	0:00:00.027896
44 	2015-04-20 23:46:11.006899 	2015-04-20 23:46:11.031817 	9 	0:00:00.024918
45 	2015-04-20 23:46:11.031921 	2015-04-20 23:46:11.056792 	4 	0:00:00.024871
46 	2015-04-20 23:46:11.056896 	2015-04-20 23:46:11.083728 	9 	0:00:00.026832
47 	2015-04-20 23:46:11.083832 	2015-04-20 23:46:11.108794 	5 	0:00:00.024962
48 	2015-04-20 23:46:11.108898 	2015-04-20 23:46:11.133812 	7 	0:00:00.024914
49 	2015-04-20 23:46:11.133915 	2015-04-20 23:46:11.157790 	5 	0:00:00.023875
50 	2015-04-20 23:46:11.157893 	2015-04-20 23:46:11.184777 	8 	0:00:00.026884
51 	2015-04-20 23:46:11.184886 	2015-04-20 23:46:11.210795 	7 	0:00:00.025909
52 	2015-04-20 23:46:11.210903 	2015-04-20 23:46:11.235791 	0 	0:00:00.024888
53 	2015-04-20 23:46:11.235896 	2015-04-20 23:46:11.261795 	3 	0:00:00.025899
54 	2015-04-20 23:46:11.261938 	2015-04-20 23:46:11.287781 	2 	0:00:00.025843
55 	2015-04-20 23:46:11.287866 	2015-04-20 23:46:11.312763 	7 	0:00:00.024897
56 	2015-04-20 23:46:11.312865 	2015-04-20 23:46:11.337762 	3 	0:00:00.024897
57 	2015-04-20 23:46:11.337868 	2015-04-20 23:46:11.362795 	5 	0:00:00.024927
58 	2015-04-20 23:46:11.362899 	2015-04-20 23:46:11.388795 	8 	0:00:00.025896
59 	2015-04-20 23:46:11.388900 	2015-04-20 23:46:11.413756 	1 	0:00:00.024856
60 	2015-04-20 23:46:11.413853 	2015-04-20 23:46:11.438810 	0 	0:00:00.024957
61 	2015-04-20 23:46:11.438914 	2015-04-20 23:46:11.464793 	2 	0:00:00.025879
62 	2015-04-20 23:46:11.464896 	2015-04-20 23:46:11.490793 	5 	0:00:00.025897
63 	2015-04-20 23:46:11.490897 	2015-04-20 23:46:11.518795 	4 	0:00:00.027898
64 	2015-04-20 23:46:11.518904 	2015-04-20 23:46:11.543794 	3 	0:00:00.024890
65 	2015-04-20 23:46:11.543899 	2015-04-20 23:46:11.569793 	7 	0:00:00.025894
66 	2015-04-20 23:46:11.569897 	2015-04-20 23:46:11.594809 	3 	0:00:00.024912
67 	2015-04-20 23:46:11.594913 	2015-04-20 23:46:11.619793 	4 	0:00:00.024880
68 	2015-04-20 23:46:11.619897 	2015-04-20 23:46:11.644760 	3 	0:00:00.024863
69 	2015-04-20 23:46:11.644866 	2015-04-20 23:46:11.670793 	1 	0:00:00.025927
70 	2015-04-20 23:46:11.670897 	2015-04-20 23:46:11.695793 	7 	0:00:00.024896
71 	2015-04-20 23:46:11.695899 	2015-04-20 23:46:11.720763 	9 	0:00:00.024864
72 	2015-04-20 23:46:11.720870 	2015-04-20 23:46:11.746803 	7 	0:00:00.025933
73 	2015-04-20 23:46:11.746914 	2015-04-20 23:46:11.771793 	0 	0:00:00.024879
74 	2015-04-20 23:46:11.771896 	2015-04-20 23:46:11.797794 	7 	0:00:00.025898
75 	2015-04-20 23:46:11.797898 	2015-04-20 23:46:11.823796 	4 	0:00:00.025898
76 	2015-04-20 23:46:11.823899 	2015-04-20 23:46:11.847787 	6 	0:00:00.023888
77 	2015-04-20 23:46:11.847892 	2015-04-20 23:46:11.872713 	7 	0:00:00.024821
78 	2015-04-20 23:46:11.872825 	2015-04-20 23:46:11.895796 	8 	0:00:00.022971
79 	2015-04-20 23:46:11.895900 	2015-04-20 23:46:11.920790 	6 	0:00:00.024890
80 	2015-04-20 23:46:11.920894 	2015-04-20 23:46:11.948765 	9 	0:00:00.027871
81 	2015-04-20 23:46:11.948905 	2015-04-20 23:46:11.975795 	2 	0:00:00.026890
82 	2015-04-20 23:46:11.975899 	2015-04-20 23:46:12.002789 	7 	0:00:00.026890
83 	2015-04-20 23:46:12.002897 	2015-04-20 23:46:12.028793 	4 	0:00:00.025896
84 	2015-04-20 23:46:12.028902 	2015-04-20 23:46:12.056791 	2 	0:00:00.027889
85 	2015-04-20 23:46:12.056940 	2015-04-20 23:46:12.080795 	6 	0:00:00.023855
86 	2015-04-20 23:46:12.080899 	2015-04-20 23:46:12.106757 	2 	0:00:00.025858
87 	2015-04-20 23:46:12.106862 	2015-04-20 23:46:12.130794 	4 	0:00:00.023932
88 	2015-04-20 23:46:12.130898 	2015-04-20 23:46:12.156796 	1 	0:00:00.025898
89 	2015-04-20 23:46:12.156900 	2015-04-20 23:46:12.181791 	4 	0:00:00.024891
90 	2015-04-20 23:46:12.181890 	2015-04-20 23:46:12.207837 	6 	0:00:00.025947
91 	2015-04-20 23:46:12.207945 	2015-04-20 23:46:12.231818 	9 	0:00:00.023873
92 	2015-04-20 23:46:12.231921 	2015-04-20 23:46:12.257791 	1 	0:00:00.025870
93 	2015-04-20 23:46:12.257896 	2015-04-20 23:46:12.282790 	8 	0:00:00.024894
94 	2015-04-20 23:46:12.282894 	2015-04-20 23:46:12.309794 	3 	0:00:00.026900
95 	2015-04-20 23:46:12.309899 	2015-04-20 23:46:12.333793 	8 	0:00:00.023894
96 	2015-04-20 23:46:12.333897 	2015-04-20 23:46:12.358742 	9 	0:00:00.024845
97 	2015-04-20 23:46:12.358846 	2015-04-20 23:46:12.383798 	8 	0:00:00.024952
98 	2015-04-20 23:46:12.383901 	2015-04-20 23:46:12.409795 	0 	0:00:00.025894
99 	2015-04-20 23:46:12.409902 	2015-04-20 23:46:12.434772 	2 	0:00:00.024870
100 	2015-04-20 23:46:12.434876 	2015-04-20 23:46:12.461796 	1 	0:00:00.026920
101 	2015-04-20 23:46:12.461901 	2015-04-20 23:46:12.486815 	7 	0:00:00.024914
102 	2015-04-20 23:46:12.486919 	2015-04-20 23:46:12.513805 	1 	0:00:00.026886
103 	2015-04-20 23:46:12.513909 	2015-04-20 23:46:12.539790 	8 	0:00:00.025881
104 	2015-04-20 23:46:12.539894 	2015-04-20 23:46:12.564800 	1 	0:00:00.024906
105 	2015-04-20 23:46:12.564905 	2015-04-20 23:46:12.589792 	0 	0:00:00.024887
106 	2015-04-20 23:46:12.589934 	2015-04-20 23:46:12.614795 	1 	0:00:00.024861
107 	2015-04-20 23:46:12.614900 	2015-04-20 23:46:12.639761 	7 	0:00:00.024861
108 	2015-04-20 23:46:12.639866 	2015-04-20 23:46:12.665732 	0 	0:00:00.025866
109 	2015-04-20 23:46:12.665834 	2015-04-20 23:46:12.690769 	9 	0:00:00.024935
110 	2015-04-20 23:46:12.690868 	2015-04-20 23:46:12.715766 	0 	0:00:00.024898
111 	2015-04-20 23:46:12.715867 	2015-04-20 23:46:12.739768 	4 	0:00:00.023901
112 	2015-04-20 23:46:12.739870 	2015-04-20 23:46:12.766766 	7 	0:00:00.026896
113 	2015-04-20 23:46:12.766868 	2015-04-20 23:46:12.791813 	2 	0:00:00.024945
114 	2015-04-20 23:46:12.791915 	2015-04-20 23:46:12.835762 	5 	0:00:00.043847
115 	2015-04-20 23:46:12.835859 	2015-04-20 23:46:12.870749 	6 	0:00:00.034890
116 	2015-04-20 23:46:12.870869 	2015-04-20 23:46:12.890739 	4 	0:00:00.019870
117 	2015-04-20 23:46:12.890843 	2015-04-20 23:46:12.915791 	8 	0:00:00.024948
118 	2015-04-20 23:46:12.915896 	2015-04-20 23:46:12.939799 	3 	0:00:00.023903
119 	2015-04-20 23:46:12.939905 	2015-04-20 23:46:12.970791 	1 	0:00:00.030886
120 	2015-04-20 23:46:12.970895 	2015-04-20 23:46:12.994796 	3 	0:00:00.023901
121 	2015-04-20 23:46:12.994900 	2015-04-20 23:46:13.022796 	9 	0:00:00.027896
122 	2015-04-20 23:46:13.022901 	2015-04-20 23:46:13.048808 	7 	0:00:00.025907
123 	2015-04-20 23:46:13.048913 	2015-04-20 23:46:13.076785 	0 	0:00:00.027872
124 	2015-04-20 23:46:13.076889 	2015-04-20 23:46:13.101795 	9 	0:00:00.024906
125 	2015-04-20 23:46:13.101899 	2015-04-20 23:46:13.126794 	5 	0:00:00.024895
126 	2015-04-20 23:46:13.126898 	2015-04-20 23:46:13.151796 	2 	0:00:00.024898
127 	2015-04-20 23:46:13.151900 	2015-04-20 23:46:13.176794 	7 	0:00:00.024894
128 	2015-04-20 23:46:13.176899 	2015-04-20 23:46:13.203756 	9 	0:00:00.026857
129 	2015-04-20 23:46:13.203860 	2015-04-20 23:46:13.227810 	1 	0:00:00.023950
130 	2015-04-20 23:46:13.227914 	2015-04-20 23:46:13.252796 	5 	0:00:00.024882
131 	2015-04-20 23:46:13.252900 	2015-04-20 23:46:13.277740 	8 	0:00:00.024840
132 	2015-04-20 23:46:13.277847 	2015-04-20 23:46:13.304796 	9 	0:00:00.026949
133 	2015-04-20 23:46:13.304900 	2015-04-20 23:46:13.328754 	6 	0:00:00.023854
134 	2015-04-20 23:46:13.328858 	2015-04-20 23:46:13.354793 	9 	0:00:00.025935
135 	2015-04-20 23:46:13.354897 	2015-04-20 23:46:13.378795 	5 	0:00:00.023898
136 	2015-04-20 23:46:13.378898 	2015-04-20 23:46:13.405798 	8 	0:00:00.026900
137 	2015-04-20 23:46:13.405903 	2015-04-20 23:46:13.429796 	4 	0:00:00.023893
138 	2015-04-20 23:46:13.429900 	2015-04-20 23:46:13.454793 	6 	0:00:00.024893
139 	2015-04-20 23:46:13.454898 	2015-04-20 23:46:13.481836 	1 	0:00:00.026938
140 	2015-04-20 23:46:13.481940 	2015-04-20 23:46:13.507737 	6 	0:00:00.025797
141 	2015-04-20 23:46:13.507842 	2015-04-20 23:46:13.534812 	5 	0:00:00.026970
142 	2015-04-20 23:46:13.534916 	2015-04-20 23:46:13.559800 	1 	0:00:00.024884
143 	2015-04-20 23:46:13.559903 	2015-04-20 23:46:13.585795 	4 	0:00:00.025892
144 	2015-04-20 23:46:13.585899 	2015-04-20 23:46:13.610800 	3 	0:00:00.024901
145 	2015-04-20 23:46:13.610907 	2015-04-20 23:46:13.635795 	9 	0:00:00.024888
