Run 	T Sent 	T Received 	Message ID 	dT
1 	2015-04-04 14:22:36.880527 	2015-04-04 14:22:36.884322 	6 	0:00:00.003795
2 	2015-04-04 14:22:36.895864 	2015-04-04 14:22:36.899759 	2 	0:00:00.003895
3 	2015-04-04 14:22:36.910793 	2015-04-04 14:22:36.915969 	7 	0:00:00.005176
4 	2015-04-04 14:22:36.928380 	2015-04-04 14:22:36.933645 	0 	0:00:00.005265
5 	2015-04-04 14:22:36.943921 	2015-04-04 14:22:36.949292 	5 	0:00:00.005371
6 	2015-04-04 14:22:36.959889 	2015-04-04 14:22:36.964980 	9 	0:00:00.005091
7 	2015-04-04 14:22:36.977347 	2015-04-04 14:22:36.982886 	7 	0:00:00.005539
8 	2015-04-04 14:22:36.994867 	2015-04-04 14:22:37.000046 	3 	0:00:00.005179
9 	2015-04-04 14:22:37.012320 	2015-04-04 14:22:37.017930 	6 	0:00:00.005610
10 	2015-04-04 14:22:37.029889 	2015-04-04 14:22:37.035218 	8 	0:00:00.005329
11 	2015-04-04 14:22:37.045761 	2015-04-04 14:22:37.051076 	0 	0:00:00.005315
12 	2015-04-04 14:22:37.062389 	2015-04-04 14:22:37.067733 	3 	0:00:00.005344
13 	2015-04-04 14:22:37.078312 	2015-04-04 14:22:37.083759 	4 	0:00:00.005447
14 	2015-04-04 14:22:37.094906 	2015-04-04 14:22:37.100213 	2 	0:00:00.005307
15 	2015-04-04 14:22:37.110720 	2015-04-04 14:22:37.116386 	4 	0:00:00.005666
16 	2015-04-04 14:22:37.127412 	2015-04-04 14:22:37.132736 	2 	0:00:00.005324
17 	2015-04-04 14:22:37.143225 	2015-04-04 14:22:37.148857 	4 	0:00:00.005632
18 	2015-04-04 14:22:37.159852 	2015-04-04 14:22:37.165424 	2 	0:00:00.005572
19 	2015-04-04 14:22:37.175681 	2015-04-04 14:22:37.181603 	6 	0:00:00.005922
20 	2015-04-04 14:22:37.192414 	2015-04-04 14:22:37.197708 	9 	0:00:00.005294
21 	2015-04-04 14:22:37.208276 	2015-04-04 14:22:37.213908 	2 	0:00:00.005632
22 	2015-04-04 14:22:37.224904 	2015-04-04 14:22:37.230089 	8 	0:00:00.005185
23 	2015-04-04 14:22:37.240685 	2015-04-04 14:22:37.246988 	2 	0:00:00.006303
24 	2015-04-04 14:22:37.257460 	2015-04-04 14:22:37.262948 	3 	0:00:00.005488
25 	2015-04-04 14:22:37.273243 	2015-04-04 14:22:37.278742 	8 	0:00:00.005499
26 	2015-04-04 14:22:37.289888 	2015-04-04 14:22:37.295314 	7 	0:00:00.005426
27 	2015-04-04 14:22:37.305908 	2015-04-04 14:22:37.311392 	1 	0:00:00.005484
28 	2015-04-04 14:22:37.322413 	2015-04-04 14:22:37.328247 	6 	0:00:00.005834
29 	2015-04-04 14:22:37.338559 	2015-04-04 14:22:37.343941 	0 	0:00:00.005382
30 	2015-04-04 14:22:37.354946 	2015-04-04 14:22:37.360224 	5 	0:00:00.005278
31 	2015-04-04 14:22:37.370709 	2015-04-04 14:22:37.376733 	0 	0:00:00.006024
32 	2015-04-04 14:22:37.387382 	2015-04-04 14:22:37.392634 	5 	0:00:00.005252
33 	2015-04-04 14:22:37.403215 	2015-04-04 14:22:37.409392 	8 	0:00:00.006177
34 	2015-04-04 14:22:37.419957 	2015-04-04 14:22:37.425301 	9 	0:00:00.005344
35 	2015-04-04 14:22:37.435743 	2015-04-04 14:22:37.441502 	5 	0:00:00.005759
36 	2015-04-04 14:22:37.452467 	2015-04-04 14:22:37.457730 	8 	0:00:00.005263
37 	2015-04-04 14:22:37.468255 	2015-04-04 14:22:37.473663 	1 	0:00:00.005408
38 	2015-04-04 14:22:37.484893 	2015-04-04 14:22:37.490038 	5 	0:00:00.005145
39 	2015-04-04 14:22:37.500765 	2015-04-04 14:22:37.506983 	0 	0:00:00.006218
40 	2015-04-04 14:22:37.517396 	2015-04-04 14:22:37.522572 	3 	0:00:00.005176
41 	2015-04-04 14:22:37.533293 	2015-04-04 14:22:37.538899 	2 	0:00:00.005606
42 	2015-04-04 14:22:37.549884 	2015-04-04 14:22:37.555254 	7 	0:00:00.005370
43 	2015-04-04 14:22:37.565712 	2015-04-04 14:22:37.572053 	9 	0:00:00.006341
44 	2015-04-04 14:22:37.584925 	2015-04-04 14:22:37.590059 	0 	0:00:00.005134
45 	2015-04-04 14:22:37.602209 	2015-04-04 14:22:37.608480 	6 	0:00:00.006271
46 	2015-04-04 14:22:37.619909 	2015-04-04 14:22:37.625466 	4 	0:00:00.005557
47 	2015-04-04 14:22:37.637451 	2015-04-04 14:22:37.643099 	6 	0:00:00.005648
48 	2015-04-04 14:22:37.654840 	2015-04-04 14:22:37.660086 	7 	0:00:00.005246
49 	2015-04-04 14:22:37.672457 	2015-04-04 14:22:37.677946 	1 	0:00:00.005489
50 	2015-04-04 14:22:37.689860 	2015-04-04 14:22:37.695004 	8 	0:00:00.005144
51 	2015-04-04 14:22:37.707418 	2015-04-04 14:22:37.712777 	7 	0:00:00.005359
52 	2015-04-04 14:22:37.725005 	2015-04-04 14:22:37.730077 	8 	0:00:00.005072
53 	2015-04-04 14:22:37.742429 	2015-04-04 14:22:37.747922 	0 	0:00:00.005493
54 	2015-04-04 14:22:37.758240 	2015-04-04 14:22:37.763573 	3 	0:00:00.005333
55 	2015-04-04 14:22:37.774885 	2015-04-04 14:22:37.780329 	8 	0:00:00.005444
56 	2015-04-04 14:22:37.790751 	2015-04-04 14:22:37.796053 	7 	0:00:00.005302
57 	2015-04-04 14:22:37.807400 	2015-04-04 14:22:37.812823 	0 	0:00:00.005423
58 	2015-04-04 14:22:37.823220 	2015-04-04 14:22:37.829496 	3 	0:00:00.006276
59 	2015-04-04 14:22:37.839902 	2015-04-04 14:22:37.845455 	7 	0:00:00.005553
60 	2015-04-04 14:22:37.855841 	2015-04-04 14:22:37.861892 	0 	0:00:00.006051
61 	2015-04-04 14:22:37.872390 	2015-04-04 14:22:37.877936 	1 	0:00:00.005546
62 	2015-04-04 14:22:37.888676 	2015-04-04 14:22:37.894358 	8 	0:00:00.005682
63 	2015-04-04 14:22:37.904902 	2015-04-04 14:22:37.910383 	7 	0:00:00.005481
64 	2015-04-04 14:22:37.920714 	2015-04-04 14:22:37.925969 	0 	0:00:00.005255
65 	2015-04-04 14:22:37.937403 	2015-04-04 14:22:37.942951 	9 	0:00:00.005548
66 	2015-04-04 14:22:37.953240 	2015-04-04 14:22:37.958928 	4 	0:00:00.005688
67 	2015-04-04 14:22:37.969906 	2015-04-04 14:22:37.976138 	5 	0:00:00.006232
68 	2015-04-04 14:22:37.986397 	2015-04-04 14:22:37.991704 	8 	0:00:00.005307
69 	2015-04-04 14:22:38.002464 	2015-04-04 14:22:38.008102 	9 	0:00:00.005638
70 	2015-04-04 14:22:38.018876 	2015-04-04 14:22:38.024086 	5 	0:00:00.005210
71 	2015-04-04 14:22:38.034918 	2015-04-04 14:22:38.040304 	3 	0:00:00.005386
72 	2015-04-04 14:22:38.050735 	2015-04-04 14:22:38.056305 	6 	0:00:00.005570
73 	2015-04-04 14:22:38.067407 	2015-04-04 14:22:38.072972 	9 	0:00:00.005565
74 	2015-04-04 14:22:38.083291 	2015-04-04 14:22:38.088485 	8 	0:00:00.005194
75 	2015-04-04 14:22:38.099944 	2015-04-04 14:22:38.105339 	9 	0:00:00.005395
76 	2015-04-04 14:22:38.115779 	2015-04-04 14:22:38.120937 	3 	0:00:00.005158
77 	2015-04-04 14:22:38.132407 	2015-04-04 14:22:38.137939 	5 	0:00:00.005532
78 	2015-04-04 14:22:38.148227 	2015-04-04 14:22:38.153331 	0 	0:00:00.005104
79 	2015-04-04 14:22:38.164939 	2015-04-04 14:22:38.170345 	9 	0:00:00.005406
80 	2015-04-04 14:22:38.180747 	2015-04-04 14:22:38.185910 	5 	0:00:00.005163
81 	2015-04-04 14:22:38.197410 	2015-04-04 14:22:38.202787 	4 	0:00:00.005377
82 	2015-04-04 14:22:38.213239 	2015-04-04 14:22:38.218307 	7 	0:00:00.005068
83 	2015-04-04 14:22:38.229904 	2015-04-04 14:22:38.235296 	5 	0:00:00.005392
84 	2015-04-04 14:22:38.245788 	2015-04-04 14:22:38.250980 	3 	0:00:00.005192
85 	2015-04-04 14:22:38.262414 	2015-04-04 14:22:38.267822 	6 	0:00:00.005408
86 	2015-04-04 14:22:38.278307 	2015-04-04 14:22:38.283482 	0 	0:00:00.005175
87 	2015-04-04 14:22:38.294924 	2015-04-04 14:22:38.300409 	1 	0:00:00.005485
88 	2015-04-04 14:22:38.310722 	2015-04-04 14:22:38.315965 	5 	0:00:00.005243
89 	2015-04-04 14:22:38.327412 	2015-04-04 14:22:38.332953 	7 	0:00:00.005541
90 	2015-04-04 14:22:38.343091 	2015-04-04 14:22:38.348189 	1 	0:00:00.005098
91 	2015-04-04 14:22:38.359913 	2015-04-04 14:22:38.365326 	4 	0:00:00.005413
92 	2015-04-04 14:22:38.377314 	2015-04-04 14:22:38.382544 	3 	0:00:00.005230
93 	2015-04-04 14:22:38.394908 	2015-04-04 14:22:38.400448 	9 	0:00:00.005540
94 	2015-04-04 14:22:38.412425 	2015-04-04 14:22:38.417815 	5 	0:00:00.005390
95 	2015-04-04 14:22:38.429910 	2015-04-04 14:22:38.435412 	7 	0:00:00.005502
96 	2015-04-04 14:22:38.447417 	2015-04-04 14:22:38.452591 	3 	0:00:00.005174
97 	2015-04-04 14:22:38.464909 	2015-04-04 14:22:38.470453 	2 	0:00:00.005544
98 	2015-04-04 14:22:38.482417 	2015-04-04 14:22:38.487722 	8 	0:00:00.005305
99 	2015-04-04 14:22:38.499941 	2015-04-04 14:22:38.505269 	9 	0:00:00.005328
100 	2015-04-04 14:22:38.517299 	2015-04-04 14:22:38.522377 	3 	0:00:00.005078
101 	2015-04-04 14:22:38.533466 	2015-04-04 14:22:38.538922 	0 	0:00:00.005456
102 	2015-04-04 14:22:38.549900 	2015-04-04 14:22:38.555155 	3 	0:00:00.005255
103 	2015-04-04 14:22:38.565734 	2015-04-04 14:22:38.571925 	1 	0:00:00.006191
104 	2015-04-04 14:22:38.582504 	2015-04-04 14:22:38.587723 	8 	0:00:00.005219
105 	2015-04-04 14:22:38.598201 	2015-04-04 14:22:38.603654 	6 	0:00:00.005453
106 	2015-04-04 14:22:38.614910 	2015-04-04 14:22:38.620251 	9 	0:00:00.005341
107 	2015-04-04 14:22:38.630754 	2015-04-04 14:22:38.636443 	1 	0:00:00.005689
108 	2015-04-04 14:22:38.647419 	2015-04-04 14:22:38.652627 	6 	0:00:00.005208
109 	2015-04-04 14:22:38.663242 	2015-04-04 14:22:38.668996 	0 	0:00:00.005754
110 	2015-04-04 14:22:38.679918 	2015-04-04 14:22:38.685236 	4 	0:00:00.005318
111 	2015-04-04 14:22:38.695742 	2015-04-04 14:22:38.701536 	3 	0:00:00.005794
112 	2015-04-04 14:22:38.712423 	2015-04-04 14:22:38.717603 	4 	0:00:00.005180
113 	2015-04-04 14:22:38.728309 	2015-04-04 14:22:38.734499 	7 	0:00:00.006190
114 	2015-04-04 14:22:38.744931 	2015-04-04 14:22:38.750407 	3 	0:00:00.005476
115 	2015-04-04 14:22:38.760826 	2015-04-04 14:22:38.767069 	1 	0:00:00.006243
116 	2015-04-04 14:22:38.777783 	2015-04-04 14:22:38.783291 	9 	0:00:00.005508
117 	2015-04-04 14:22:38.793910 	2015-04-04 14:22:38.799823 	3 	0:00:00.005913
118 	2015-04-04 14:22:38.812477 	2015-04-04 14:22:38.817762 	6 	0:00:00.005285
119 	2015-04-04 14:22:38.829399 	2015-04-04 14:22:38.835601 	3 	0:00:00.006202
120 	2015-04-04 14:22:38.847460 	2015-04-04 14:22:38.852650 	9 	0:00:00.005190
121 	2015-04-04 14:22:38.864892 	2015-04-04 14:22:38.870494 	4 	0:00:00.005602
122 	2015-04-04 14:22:38.882442 	2015-04-04 14:22:38.887772 	3 	0:00:00.005330
123 	2015-04-04 14:22:38.899971 	2015-04-04 14:22:38.905570 	7 	0:00:00.005599
124 	2015-04-04 14:22:38.917436 	2015-04-04 14:22:38.922420 	6 	0:00:00.004984
125 	2015-04-04 14:22:38.934928 	2015-04-04 14:22:38.940437 	4 	0:00:00.005509
126 	2015-04-04 14:22:38.952414 	2015-04-04 14:22:38.960800 	1 	0:00:00.008386
127 	2015-04-04 14:22:38.972491 	2015-04-04 14:22:38.977949 	6 	0:00:00.005458
128 	2015-04-04 14:22:38.989564 	2015-04-04 14:22:38.995000 	0 	0:00:00.005436
129 	2015-04-04 14:22:39.007358 	2015-04-04 14:22:39.012643 	4 	0:00:00.005285
130 	2015-04-04 14:22:39.024938 	2015-04-04 14:22:39.030277 	0 	0:00:00.005339
131 	2015-04-04 14:22:39.042405 	2015-04-04 14:22:39.047863 	9 	0:00:00.005458
132 	2015-04-04 14:22:39.059918 	2015-04-04 14:22:39.065128 	2 	0:00:00.005210
133 	2015-04-04 14:22:39.077408 	2015-04-04 14:22:39.082709 	4 	0:00:00.005301
134 	2015-04-04 14:22:39.094926 	2015-04-04 14:22:39.100246 	8 	0:00:00.005320
135 	2015-04-04 14:22:39.112407 	2015-04-04 14:22:39.118706 	4 	0:00:00.006299
136 	2015-04-04 14:22:39.129938 	2015-04-04 14:22:39.135314 	5 	0:00:00.005376
137 	2015-04-04 14:22:39.145794 	2015-04-04 14:22:39.151937 	0 	0:00:00.006143
138 	2015-04-04 14:22:39.162420 	2015-04-04 14:22:39.167757 	6 	0:00:00.005337
139 	2015-04-04 14:22:39.178258 	2015-04-04 14:22:39.183865 	7 	0:00:00.005607
140 	2015-04-04 14:22:39.194925 	2015-04-04 14:22:39.200341 	1 	0:00:00.005416
141 	2015-04-04 14:22:39.210707 	2015-04-04 14:22:39.218006 	8 	0:00:00.007299
142 	2015-04-04 14:22:39.229921 	2015-04-04 14:22:39.235331 	9 	0:00:00.005410
143 	2015-04-04 14:22:39.247009 	2015-04-04 14:22:39.252831 	0 	0:00:00.005822
144 	2015-04-04 14:22:39.264916 	2015-04-04 14:22:39.270243 	3 	0:00:00.005327
145 	2015-04-04 14:22:39.282462 	2015-04-04 14:22:39.287908 	0 	0:00:00.005446
146 	2015-04-04 14:22:39.299933 	2015-04-04 14:22:39.305259 	8 	0:00:00.005326
147 	2015-04-04 14:22:39.317436 	2015-04-04 14:22:39.322851 	0 	0:00:00.005415
148 	2015-04-04 14:22:39.335119 	2015-04-04 14:22:39.340124 	6 	0:00:00.005005
149 	2015-04-04 14:22:39.352426 	2015-04-04 14:22:39.358004 	2 	0:00:00.005578
150 	2015-04-04 14:22:39.369914 	2015-04-04 14:22:39.375297 	3 	0:00:00.005383
151 	2015-04-04 14:22:39.387593 	2015-04-04 14:22:39.393002 	4 	0:00:00.005409
152 	2015-04-04 14:22:39.403238 	2015-04-04 14:22:39.408946 	3 	0:00:00.005708
153 	2015-04-04 14:22:39.419923 	2015-04-04 14:22:39.425513 	2 	0:00:00.005590
154 	2015-04-04 14:22:39.435764 	2015-04-04 14:22:39.441036 	0 	0:00:00.005272
155 	2015-04-04 14:22:39.452459 	2015-04-04 14:22:39.457835 	7 	0:00:00.005376
156 	2015-04-04 14:22:39.468280 	2015-04-04 14:22:39.473439 	2 	0:00:00.005159
157 	2015-04-04 14:22:39.484930 	2015-04-04 14:22:39.491055 	4 	0:00:00.006125
158 	2015-04-04 14:22:39.501829 	2015-04-04 14:22:39.507255 	3 	0:00:00.005426
159 	2015-04-04 14:22:39.519980 	2015-04-04 14:22:39.525511 	4 	0:00:00.005531
160 	2015-04-04 14:22:39.537074 	2015-04-04 14:22:39.542315 	2 	0:00:00.005241
161 	2015-04-04 14:22:39.554926 	2015-04-04 14:22:39.560367 	9 	0:00:00.005441
162 	2015-04-04 14:22:39.572429 	2015-04-04 14:22:39.577743 	1 	0:00:00.005314
163 	2015-04-04 14:22:39.590005 	2015-04-04 14:22:39.595599 	3 	0:00:00.005594
